"","geohash","PLANTA","usuarios","LATITUD","LONGITUD"
"36","ezpb85hzp","3",5,39.4805932044983,-0.344717502593994
"37","ezpb85jjy","1",5,39.4803786277771,-0.344417095184326
"38","ezpb85jsf","2",5,39.4802069664001,-0.343902111053467
"39","ezpb85jsr","2",5,39.4801211357117,-0.343687534332275
"40","ezpb85k3r","2",5,39.4809794425964,-0.345404148101807
"41","ezpb85k8c","2",5,39.480893611908,-0.34531831741333
"42","ezpb85kds","2",5,39.4811940193176,-0.345189571380615
"43","ezpb85kec","3",5,39.4814085960388,-0.34531831741333
"44","ezpb85kfj","2",5,39.4811081886292,-0.344803333282471
"45","ezpb85kfp","2",5,39.4811081886292,-0.344717502593994
"46","ezpb85kg0","1",5,39.4812798500061,-0.345017910003662
"47","ezpb85kn5","1",5,39.481794834137,-0.345919132232666
"48","ezpb85kn9","0",5,39.4818806648254,-0.346004962921143
"49","ezpb85kne","0",5,39.4818806648254,-0.345919132232666
"50","ezpb85kne","1",5,39.4818806648254,-0.345919132232666
"51","ezpb85kpy","0",5,39.4820952415466,-0.345790386199951
"52","ezpb85kv8","2",5,39.4817090034485,-0.345017910003662
"53","ezpb85kve","1",5,39.4817090034485,-0.344889163970947
"54","ezpb85m33","0",5,39.4809794425964,-0.344288349151611
"55","ezpb85m37","0",5,39.4809794425964,-0.344202518463135
"56","ezpb85m9r","2",5,39.4809794425964,-0.343687534332275
"57","ezpb85mbg","1",5,39.480893611908,-0.343515872955322
"58","ezpb85mhf","1",5,39.4815802574158,-0.344588756561279
"59","ezpb85mhf","2",5,39.4815802574158,-0.344588756561279
"60","ezpb85mpy","0",5,39.4820952415466,-0.344417095184326
"61","ezpb85n33","0",5,39.4796061515808,-0.342915058135986
"62","ezpb85n8v","2",5,39.4795203208923,-0.342400074005127
"63","ezpb85n9b","2",5,39.4796919822693,-0.342614650726318
"64","ezpb85nj2","2",5,39.4802927970886,-0.343301296234131
"65","ezpb85njb","2",5,39.4803786277771,-0.343301296234131
"66","ezpb85nuk","2",5,39.4801211357117,-0.342099666595459
"67","ezpb85p8y","1",5,39.4795203208923,-0.340983867645264
"68","ezpb85pbf","0",5,39.4795203208923,-0.340812206268311
"69","ezpb85q4p","2",5,39.4811081886292,-0.343000888824463
"70","ezpb85q82","1",5,39.4808077812195,-0.342614650726318
"71","ezpb85q87","1",5,39.4808077812195,-0.342485904693604
"72","ezpb85q97","2",5,39.4809794425964,-0.342485904693604
"73","ezpb85qd0","0",5,39.4811081886292,-0.342614650726318
"74","ezpb85qmw","2",5,39.4817090034485,-0.342700481414795
"75","ezpb85qsr","2",5,39.4814944267273,-0.34231424331665
"76","ezpb85quq","0",5,39.4814944267273,-0.342013835906982
"77","ezpb85qw0","1",5,39.481794834137,-0.342614650726318
"78","ezpb85qyd","1",5,39.4818806648254,-0.342185497283936
"79","ezpb85rmd","0",5,39.4817090034485,-0.341498851776123
"80","ezpb85s03","0",5,39.4821810722351,-0.346004962921143
"81","ezpb85s22","2",5,39.4821810722351,-0.345704555511475
"82","ezpb85s3d","0",5,39.4823956489563,-0.345618724822998
"83","ezpb85s6v","2",5,39.4826102256775,-0.345489978790283
"84","ezpb85syr","1",5,39.4832110404968,-0.344717502593994
"85","ezpb85syv","2",5,39.4832968711853,-0.344803333282471
"86","ezpb85t0k","1",5,39.4821810722351,-0.344502925872803
"87","ezpb85t23","0",5,39.4821810722351,-0.344288349151611
"88","ezpb85teu","1",5,39.4827818870544,-0.34381628036499
"89","ezpb85teu","2",5,39.4827818870544,-0.34381628036499
"90","ezpb85tf1","0",5,39.4824814796448,-0.343601703643799
"91","ezpb85tfn","1",5,39.4824814796448,-0.343387126922607
"92","ezpb85ts8","2",5,39.4829106330872,-0.343987941741943
"93","ezpb85tv5","1",5,39.4829964637756,-0.343515872955322
"94","ezpb85twr","0",5,39.4832110404968,-0.343687534332275
"95","ezpb85ugt","3",5,39.4841122627258,-0.344803333282471
"96","ezpb85v6m","1",5,39.4838976860046,-0.344116687774658
"97","ezpb85vc1","1",5,39.4836831092834,-0.343601703643799
"98","ezpb85vcn","1",5,39.4836831092834,-0.343387126922607
"99","ezpb85w4b","2",5,39.4826102256775,-0.343301296234131
"100","ezpb85w7u","0",5,39.4827818870544,-0.342786312103271
"101","ezpb85wch","0",5,39.4823098182678,-0.342099666595459
"102","ezpb85wch","1",5,39.4823098182678,-0.342099666595459
"103","ezpb85wj8","2",5,39.4830822944641,-0.343301296234131
"104","ezpb85xr2","0",5,39.4833827018738,-0.3415846824646
"105","ezpb85y1j","3",5,39.4836831092834,-0.343086719512939
"106","ezpb85y4z","1",5,39.4839835166931,-0.343000888824463
"107","ezpb85y8x","0",5,39.483597278595,-0.34231424331665
"108","ezpb85y9p","0",15,39.4836831092834,-0.34231424331665
"109","ezpb85y9z","0",5,39.4838118553162,-0.34231424331665
"110","ezpb85ycf","0",5,39.4838118553162,-0.342185497283936
"111","ezpb85z01","3",5,39.4835114479065,-0.341885089874268
"112","ezpb86bs4","2",5,39.4787049293518,-0.339782238006592
"113","ezpb86bss","1",5,39.4787907600403,-0.339696407318115
